typo	tf	df	sdf	correct	tf	df	sdf
pisküüt	0	0	0	bisküvi	12	12	12
dekaratör	0	0	0	dekoratör	0	0	0
personeller	0	0	0	personel	122	27	29
proğram	0	0	0	program	42	17	30
alobora	0	0	0	alabora	0	0	0
fermar	0	0	0	fermuar	0	0	0
kapşon	0	0	0	kapüşon	0	0	0
pantalon	0	0	0	pantolon	5	4	10
muşanba	0	0	0	muşamba	0	0	0
süpriz	0	0	0	sürpriz	8	7	7
seramoni	0	0	0	seremoni	0	0	1
evye	0	0	0	eviye	0	0	0
şohben	0	0	0	şofben	0	0	0
aşentiyon	0	0	0	eşantiyon	0	0	6
artiz	0	0	0	artist	1	1	1
psikiyatrist	0	0	0	psikiyatr	0	0	1
kordale	0	0	0	kurdele	0	0	0
dispirator	0	0	0	distribütör	10	2	5
aferim	0	0	0	aferin	0	0	0
mokasen	0	0	0	makosen	0	0	0
antreman	0	0	0	antrenman	0	0	0
insiyatif	0	0	0	inisiyatif	3	3	9
deyer	0	0	0	değer	1028	28	28
pisiklet	0	0	0	bisiklet	4	3	3
provakatör	0	0	0	provokatör	0	0	0
dökümanter	0	0	0	dokümanter	0	0	0
yımırta	0	0	0	yumurta	6	3	4
aldırmamazlık	0	0	0	aldırmazlık	0	0	0
anotomi	0	0	0	anatomi	0	0	0
oğostos	0	0	0	ağustos	12	6	6
assubay	0	0	0	astsubay	0	0	0
meraba	0	0	0	merhaba	0	0	0
prolüfütür	0	0	0	profiterol	0	0	0
ayrıyeten	0	0	0	ayrıca	427	28	28
mazurat	0	0	0	maruzat	0	0	0
sandüviç	0	0	0	sandviç	0	0	0
akrapol	0	0	0	akropol	0	0	0
oparasyon	0	0	0	operasyon	30	4	16
gömetri	0	0	0	geometri	0	0	0
peştemal	0	0	0	peştamal	0	0	0
arefe	0	0	0	arife	0	0	0
müraccat	0	0	0	müracaat	0	0	0
mazohizm	0	0	0	mazoşizm	0	0	0
melemen	0	0	0	menemen	0	0	0
aşantiyon	0	0	0	eşantiyon	0	0	6
naturel	0	0	0	natürel	0	0	0
kurdela	0	0	0	kurdele	0	0	0
mütahit	0	0	0	müteahhit	0	0	0
ahlağın	0	0	0	ahlakın	0	0	0
evsane	0	0	0	efsane	1	1	13
mürivet	0	0	0	mürüvvet	0	0	0
ahçı	0	0	0	aşçı	6	6	9
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	0	0	0
amarika	0	0	0	amerika	53	13	21
gangren	0	0	0	kangren	0	0	0
restorant	0	0	0	restoran	91	20	23
dekarasyon	0	0	0	dekorasyon	0	0	12
boğça	0	0	0	poğaça	0	0	0
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	0	0	0
eylenmek	0	0	0	eğlenmek	3	2	2
cimnastik	0	0	0	jimnastik	2	1	1
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	10	4	6
sarmısak	0	0	0	sarımsak	0	0	0
küvöz	0	0	0	kuvöz	0	0	0
bilader	0	0	0	birader	0	0	0
karekter	0	0	0	karakter	43	7	20
egzantrik	0	0	0	eksantrik	0	0	0
pardesü	0	0	0	pardösü	0	0	0
