typo	tf	df	sdf	correct	tf	df	sdf
mazohizm	0	0	0	mazoşizm	0	0	0
melemen	0	0	0	menemen	0	0	0
aşantiyon	0	0	0	eşantiyon	0	0	0
naturel	0	0	0	natürel	0	0	0
kurdela	0	0	0	kurdele	0	0	0
mütahit	0	0	0	müteahhit	0	0	0
ahlağın	0	0	0	ahlakın	2	2	5
evsane	0	0	0	efsane	0	0	0
mürivet	0	0	0	mürüvvet	0	0	0
ahçı	0	0	0	aşçı	0	0	1
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	0	0	0
amarika	0	0	0	amerika	9	8	14
gangren	0	0	0	kangren	0	0	0
restorant	0	0	0	restoran	0	0	1
dekarasyon	0	0	0	dekorasyon	0	0	2
boğça	0	0	0	poğaça	0	0	0
muzur	0	0	0	muzır	0	0	0
layik	0	0	0	laik	13	3	5
eylenmek	0	0	0	eğlenmek	1	1	1
cimnastik	0	0	0	jimnastik	2	2	2
fortmanto	0	0	0	portmanto	0	0	0
çiflik	0	0	0	çiftlik	3	3	3
sarmısak	0	0	0	sarımsak	0	0	0
küvöz	0	0	0	kuvöz	0	0	0
bilader	0	0	0	birader	0	0	0
karekter	0	0	0	karakter	21	5	12
egzantrik	0	0	0	eksantrik	0	0	0
pardesü	0	0	0	pardösü	0	0	0
